uid;rawUid
2488883457;01595994
3560595969;01623AD4
1152999169;015FB944
2229691137;0163E684
3302252801;0161D4C4
0341073153;015D5414
3288488961;015C02C4
1950375681;015F4074
0346185729;0160A214
3831259393;01615CE4
3833093377;015D78E4
3826802945;016118E4
0080154113;010EC704
1957448449;014BAC74
0617895937;0158D424
3020232449;011705B4
1685411585;01577564
0340592641;01084D14
2760073729;016283A4
0881285889;015B8734
0605510657;015C1724
2222546433;015E7984
0617699585;0159D124
3561709825;01614BD4
1425694721;0160FA54
3036353537;0114FBB4
0883512833;0156A934
0349330433;015CD214
1690327041;0158C064
4095632129;01631EF4
1946573569;015B0674
0618945025;015AE424
3298384641;015B99C4
2222610689;01597A84
4106050561;015CBDF4
0345530113;015F9814
0605511681;01601724
0351227905;0150EF14
2767673089;0157F7A4
2495700481;015EC194
1694322177;014EFD64
1147165697;015C6044
0081288449;015DD804
3832155905;010F6AE4
2487378945;01644294
3294911745;015D64C4
1690766849;010EC764
0885415937;0160C634
0339480577;01103C14
4106116097;015CBEF4
0079912449;015EC304
1156732161;0155F244
2216103937;01101784
0069949185;01572B04
3836895233;0160B2E4
1955618817;01609074
3292816129;016344C4
0068968961;01621C04
1693671169;015FF364
1961254913;0160E674
0070934785;01613A04
4096090113;016025F4
3840893697;0163EFE4
3559416065;016128D4
0882400257;015C9834
1411452673;010F2154
0875519233;015D2F34
0343499009;01617914
3841480961;0159F8E4
1680430849;01572964
1423923969;015BDF54
1948452865;01082374
3825945345;014B0BE4
2758301185;015668A4
2223835649;010A8D84
0082402817;015EE904
1958829569;015EC174
1420777729;0159AF54
1679712001;015F1E64
2219779585;01264F84
2229096449;0150DD84
1693141249;0149EB64
1690525185;015EC364
3839187201;0159D5E4
1948210689;01561F74
0882857985;01589F34
1144873217;01613D44
0070273793;014B3004
3300809729;015CBEC4
1951621889;01635374
3563938817;01646DD4
3019989761;016301B4
1153456641;015AC044
0078796033;0155B204
3288812545;014C07C4
4100329985;011266F4
2227769601;0111C984
2754549249;01162FA4
3561627393;011F4AD4
3565491969;011785D4
3298368001;011A99C4
0346098433;010BA114
2221476097;01096984
3567519489;0107A4D4
3290109441;01161BC4
0341641985;010B5D14
2483294209;01100494
4109049089;011DEBF4
0604115201;01110224
3034911489;0113E5B4
1685132033;01137164
1955795713;01139374
0071766529;01124704
3567395841;0124A2D4
0069996545;01102C04
4105768705;010FB9F4
2226001665;0117AE84
3023704065;01103AB4
1954747137;01138374
0610734081;01106724
1411912449;01132854
3296397825;010A7BC4
1952190209;010F5C74
0873140993;01130B34
0341513985;01175B14
4093974273;011705F4
3300659201;0110BCC4
2759331841;011078A4
0605685761;01081A24
1679559425;010B1C64
3567455489;010DA3D4
0346359809;0108A514
2485265153;01232294
0613157633;010B8C24
1959989761;0112D374
0606475777;01162624
1686050305;01167F64
1950618625;01144474
3569158145;0108BDD4
3570209793;0114CDD4
4108260353;0114DFF4
1157171201;0108F944
0875710977;014A3234
1412126465;01572B54
3292947201;016346C4
2222546177;015D7984
2494058497;0150A894
2495614977;0110C094
2222938113;01587F84
0069033217;015D1D04
2219923969;015A5184
0618618625;015FDF24
1678794241;015E1064
3572785409;0161F4D4
0882973953;011DA134
3288880641;015608C4
2229820929;015EE884
0885852417;0109CD34
3836810241;0114B1E4
2488885249;01605994
1422085889;014FC354
2224904705;015A9D84
2484493057;015B1694
3559613185;01632BD4
2220247553;014A5684
0073097473;01615B04
1412192769;015A2C54
1147752705;01516944
3839037953;0112D3E4
0080894465;015AD204
2494651905;015EB194
0083582209;015DFB04
0070016769;015F2C04
2225884161;014CAC84
0875650561;015E3134
3563740673;015E6AD4
1418418689;015A8B54
4106903297;015FCAF4
0337207553;01611914
4110161409;0116FCF4
2753389313;01631DA4
1678597889;015F0D64
